year,city,country,avg_temp
1987,Patna,India,25.87
1988,Patna,India,25.97
1989,Patna,India,25.40
1990,Patna,India,25.44
1991,Patna,India,25.55
1992,Patna,India,25.58
1993,Patna,India,25.66
1994,Patna,India,25.71
1995,Patna,India,25.76
1996,Patna,India,25.75
1997,Patna,India,25.46
1998,Patna,India,25.87
1999,Patna,India,25.97
2000,Patna,India,25.58
2001,Patna,India,25.82
2002,Patna,India,26.06
2003,Patna,India,25.83
2004,Patna,India,25.69
2005,Patna,India,26.11
2006,Patna,India,26.13
2007,Patna,India,25.59
2008,Patna,India,25.56
2009,Patna,India,26.31
2010,Patna,India,26.54
2011,Patna,India,25.48
2012,Patna,India,25.98
2013,Patna,India,26.79
